datetime,time,value,type
2025-04-21 17:55:00,17:55:00,8.8,1
2025-04-21 17:56:00,17:56:00,8.8,1
2025-04-21 17:57:00,17:57:00,8.9,1
2025-04-21 17:58:00,17:58:00,8.9,1
2025-04-21 17:59:00,17:59:00,9.1,1
2025-04-21 18:02:00,18:02:00,9.3,0
2025-04-21 18:04:00,18:04:00,9.9,1
2025-04-21 18:05:00,18:05:00,10.1,1
2025-04-21 18:06:00,18:06:00,10.2,1
2025-04-21 18:07:00,18:07:00,10.2,1
2025-04-21 18:08:00,18:08:00,10.3,1
2025-04-21 18:09:00,18:09:00,10.4,1
2025-04-21 18:10:00,18:10:00,10.4,1
2025-04-21 18:11:00,18:11:00,10.4,1
2025-04-21 18:12:00,18:12:00,10.4,1
2025-04-21 18:13:00,18:13:00,10.4,1
2025-04-21 18:14:00,18:14:00,10.4,1
2025-04-21 18:15:00,18:15:00,10.4,1
2025-04-21 18:17:00,18:17:00,10.2,1
2025-04-21 18:18:00,18:18:00,10.2,0
2025-04-21 18:32:00,18:32:00,10.2,1
2025-04-21 18:32:00,18:32:00,10.1,0
2025-04-21 18:35:00,18:35:00,9.9,1
2025-04-21 18:35:00,18:35:00,9.7,1
2025-04-21 18:36:00,18:36:00,9.7,1
2025-04-21 18:37:00,18:37:00,9.8,1
2025-04-21 18:38:00,18:38:00,9.8,1
2025-04-21 18:39:00,18:39:00,9.9,1
2025-04-21 18:40:00,18:40:00,10.1,1
2025-04-21 18:41:00,18:41:00,10.1,1
2025-04-21 18:42:00,18:42:00,10.2,1
2025-04-21 18:43:00,18:43:00,10.2,1
2025-04-21 18:44:00,18:44:00,10.2,1
2025-04-21 18:45:00,18:45:00,10.3,1
2025-04-21 18:46:00,18:46:00,10.4,1
2025-04-21 18:47:00,18:47:00,10.4,1
2025-04-21 18:47:00,18:47:00,10.6,0
2025-04-21 18:48:00,18:48:00,10.6,1
2025-04-21 18:49:00,18:49:00,10.8,1
2025-04-21 18:50:00,18:50:00,11.0,1
2025-04-21 18:51:00,18:51:00,11.2,1
2025-04-21 18:52:00,18:52:00,11.3,1
2025-04-21 18:54:00,18:54:00,11.6,1
2025-04-21 18:56:00,18:56:00,12.1,1
2025-04-21 18:58:00,18:58:00,12.2,1
2025-04-21 19:02:00,19:02:00,11.7,0
2025-04-21 19:07:00,19:07:00,11.8,1
2025-04-21 19:12:00,19:12:00,11.9,1
2025-04-21 19:16:00,19:16:00,11.6,1
2025-04-21 19:17:00,19:17:00,11.2,0
2025-04-21 19:28:00,19:28:00,10.4,1
2025-04-21 19:29:00,19:29:00,10.3,1
2025-04-21 19:31:00,19:31:00,10.3,1
2025-04-21 19:33:00,19:33:00,10.3,0
2025-04-21 19:35:00,19:35:00,10.1,1
2025-04-21 19:44:00,19:44:00,9.7,1
2025-04-21 19:46:00,19:46:00,9.7,1
2025-04-21 19:48:00,19:48:00,9.3,0
